time(s),delay(ms)
3.792558,46.143
3.792575,46.131
3.793402,45.752
3.793418,45.752
3.795138,46.332
3.795153,46.318
3.79629,46.298
3.7963180000000003,46.301
3.7976170000000002,46.487
3.7976439999999996,46.472
3.798455,46.131
3.798482,46.126
3.7993040000000002,45.839
3.799321,45.829
3.800188,45.57
3.800215,45.575
3.8012989999999998,45.524
3.801326,45.536
3.803375,46.44
3.803402,46.446
3.804214,46.129
3.8042420000000003,46.128
3.805316,46.05
3.8053339999999998,46.033
3.8065160000000002,46.106
3.806543,46.107
3.807347,45.807
3.807373,45.811
3.808128,45.444
3.808155,45.433
3.81041,46.589
3.810437,46.571
3.810448,45.499
3.811149,46.173
3.8122559999999996,46.212
3.812283,46.208
3.813407,46.124
3.813434,46.133
3.814112,45.867
3.814139,45.857
3.815214,45.909
3.815232,45.901
3.816304,45.964
3.8163229999999997,45.957
3.817406,46.039
3.8174259999999998,46.034
3.818483,46.107
3.818503,46.101
3.819171,45.797
3.8191979999999996,45.798
3.82027,45.914
3.8202890000000003,45.908
3.821332,46.025
3.821358,46.02
3.8224430000000003,46.241
3.8224699999999996,46.241
3.823443,46.265
3.82347,46.265
3.824134,46.041
3.824162,46.051
3.825235,46.193
3.8252550000000003,46.188
3.8264229999999997,46.47
3.826448,46.468
3.826459,45.61
3.8264679999999998,45.594
3.826552,45.669
3.826574,45.683
3.827436,45.649
3.827464,45.651
3.8283850000000004,45.71
3.828413,45.713
3.8293589999999997,45.762
3.829387,45.758
3.830328,45.812
3.830348,45.802
3.831269,45.866
3.831288,45.856
3.832228,45.978
3.8322559999999997,45.985
3.833156,45.988
3.833184,45.996
3.834273,46.188
3.8343000000000003,46.188
3.835874,46.904
3.835897,46.902
3.835907,46.061
3.835915,46.044
3.83678,46.063
3.8368,46.058
3.837743,46.226
3.837767,46.239
3.8385439999999997,46.118
3.838563,46.121
3.839156,45.867
3.839175,45.868
3.8402789999999998,46.108
3.840299,46.102
3.841783,46.762
3.841808,46.762
3.841817,45.951
3.841826,45.934
3.842672,45.962
3.8426970000000003,45.962
3.843596,46.12
3.843631,46.134
3.8444789999999998,46.132
3.8445050000000003,46.142
3.845259,46.086
3.845279,46.067
3.8460970000000003,46.065
3.846116,46.059
3.846125,45.286
3.846144,45.28
3.847219,45.601
3.847245,45.613
3.848563,46.139
3.848602,46.166
3.84946,46.23
3.849487,46.242
3.850219,46.161
3.8502460000000003,46.162
3.850256,45.429
3.850278,45.434
3.851334,45.752
3.85136,45.74
3.852638,46.246
3.852665,46.244
3.8534740000000003,46.291
3.853507,46.286
3.854211,46.248
3.85423,46.234
3.854239,45.539
3.854247,45.532
3.855328,45.877
3.855344,45.856
3.856494,46.248
3.856513,46.23
3.857342,46.336
3.8573690000000003,46.349
3.857379,45.65
3.8574029999999997,45.636
3.858418,45.942
3.858437,45.922
3.8595949999999997,46.34
3.859636,46.367
3.8603780000000003,46.384
3.860394,46.387
3.860403,46.388
3.860411,46.388
3.860436,45.703
3.860465,45.718
3.8611280000000003,45.704
3.8611419999999996,45.698
3.862213,46.015
3.8622289999999997,46.017
3.8622379999999996,45.32
3.862257,45.3
3.863348,45.733
3.8633629999999997,45.728
3.864363,45.998
3.8643829999999997,45.988
3.8653470000000003,46.311
3.865364,46.316
3.865373,45.624
3.8653809999999997,45.606
3.866335,45.879
3.8663510000000003,45.854
3.8673130000000002,46.123
3.867331,46.128
3.86734,45.452
3.86736,45.458
3.868226,45.675
3.868245,45.679
3.869179,45.903
3.869197,45.883
3.870161,46.197
3.870189,46.185
3.870215,45.57
3.8702449999999997,45.56
3.871283,45.972
3.87131,45.984
3.8713200000000003,45.986
3.872038,45.717
3.872066,45.731
3.872076,45.733
3.873781,46.471
3.873808,46.478
3.8738180000000004,46.474
3.874236,45.975
3.874263,45.985
3.8742739999999998,45.983
3.875129,45.891
3.8751550000000003,45.9
3.875166,45.898
3.876221,46.001
3.876241,46.005
3.876264,46.015
3.87775,46.59
3.877769,46.591
3.8777779999999997,46.587
3.878612,46.511
3.878638,46.517
3.878648,46.514
3.879444,46.415
3.87947,46.425
3.879481,46.423
3.879509,45.567
3.879538,45.58
3.879564,45.594
3.8802939999999997,45.444
3.8803110000000003,45.445
3.88032,45.441
3.881148,45.392
3.8811649999999998,45.39
3.881173,45.385
3.882264,45.63
3.8822959999999997,45.637
3.88233,45.661
3.883613,46.051
3.883648,46.071
3.883675,46.09
3.884681,46.244
3.884699,46.245
3.885688,46.641
3.8857060000000003,46.644
3.8857150000000003,46.644
3.885735,45.819
3.885762,45.833
3.8857869999999997,45.85
3.88645,45.631
3.8864650000000003,45.631
3.886484,45.642
3.887312,45.66
3.88733,45.666
3.887339,45.667
3.888147,45.595
3.8881729999999997,45.607
3.8881819999999996,45.608
3.889235,45.8
3.889256,45.796
3.889265,45.795
3.890897,46.586
3.8909119999999997,46.575
3.8909209999999996,46.574
3.8919070000000002,46.787
3.891923,46.786
3.8919319999999997,46.787
3.89194,45.984
3.8919580000000003,45.988
3.8928939999999996,46.916
3.892909,46.155
3.8929180000000003,46.144
3.892936,46.154
3.893228,45.606
3.8932510000000002,45.613
3.893262,45.616
3.8942229999999998,45.822
3.894247,45.829
3.894272,45.846
3.895146,45.854
3.895161,45.844
3.8951700000000002,45.843
3.8960850000000002,46.017
3.896104,46.021
3.8961129999999997,46.021
3.896121,45.226
3.896141,45.229
3.896158,45.238
3.897131,45.406
3.897153,45.401
3.8971750000000003,45.414
3.897185,45.416
3.898247,45.752
3.898273,45.763
3.8983000000000003,45.782
