datetime,cc,run,runtime,throughput_test,throughput_value,delay_test,delay_value
2019-08-21T12:14:13:+0200,bbr,5,30,True,105.31786219354836,True,84.561
2019-08-21T12:14:13:+0200,bbr,6,30,True,105.13613729032257,False,
2019-08-21T12:14:13:+0200,bbr,7,30,True,106.43184412903226,True,84.656
2019-08-21T12:14:13:+0200,bbr,8,30,True,105.36134709677417,True,85.161
2019-08-21T12:14:13:+0200,bbr,9,30,True,105.26102399999998,True,86.31299999999999
2019-08-21T12:14:13:+0200,bbr,10,30,True,104.67690012903225,True,85.70200000000001
2019-08-22T07:59:10:+0200,bbr,1,30,True,106.44112206451611,True,85.714
2019-08-22T07:59:10:+0200,bbr,2,30,True,106.44916438709679,True,85.461
2019-08-22T07:59:10:+0200,bbr,3,30,True,105.11608051612902,False,
2019-08-22T07:59:10:+0200,bbr,4,30,True,104.92092077419353,True,86.527
2019-08-22T07:59:10:+0200,bbr,5,30,True,106.44928722580643,True,85.214
2019-08-22T07:59:10:+0200,bbr,6,30,True,106.09725419354838,False,
2019-08-22T07:59:10:+0200,bbr,7,30,True,104.93930735483868,False,
2019-08-22T07:59:10:+0200,bbr,8,30,True,105.31034941935482,True,85.26899999999999
2019-08-22T07:59:10:+0200,bbr,9,30,True,104.9543618064516,True,87.17299999999999
2019-08-22T07:59:10:+0200,bbr,10,30,True,106.52633083870967,True,85.434
2019-08-22T10:18:28:+0200,bbr,1,30,True,106.4626467096774,True,84.84700000000001
2019-08-22T10:18:28:+0200,bbr,2,30,True,106.47548077419354,True,84.09100000000001
2019-08-22T10:18:28:+0200,bbr,3,30,True,105.10134812903226,True,84.445
2019-08-22T10:18:28:+0200,bbr,4,30,True,105.0829935483871,True,85.491
2019-08-22T10:18:28:+0200,bbr,5,30,True,105.05573677419353,False,
2019-08-22T10:18:28:+0200,bbr,6,30,True,106.5150224516129,True,85.744
2019-08-22T10:18:28:+0200,bbr,7,30,True,105.34484748387095,True,85.631
2019-08-22T10:18:28:+0200,bbr,8,30,True,105.1466818064516,True,84.584
2019-08-22T10:18:28:+0200,bbr,9,30,True,106.43531148387096,True,84.926
2019-08-22T10:18:28:+0200,bbr,10,30,True,106.49383741935483,True,84.64399999999999
2019-08-21T17:06:02:+0200,copa,1,30,True,100.98868645161292,True,61.056000000000004
2019-08-21T17:06:02:+0200,copa,2,30,True,105.2402064516129,True,48.761
2019-08-21T17:06:02:+0200,copa,3,30,True,97.08451303225809,True,58.695
2019-08-21T17:06:02:+0200,copa,4,30,True,92.90253419354839,True,61.75
2019-08-21T17:06:02:+0200,copa,5,30,True,105.91170683870969,True,49.342
2019-08-21T17:06:02:+0200,copa,6,30,True,100.85706322580644,True,50.016000000000005
2019-08-21T17:06:02:+0200,copa,7,30,True,98.34169599999998,True,52.558
2019-08-21T17:06:02:+0200,copa,8,30,True,80.47760929032256,True,64.883
2019-08-21T17:06:02:+0200,copa,9,30,True,96.89628696774196,True,52.968999999999994
2019-08-21T17:06:02:+0200,copa,10,30,True,89.72261574193547,True,63.236000000000004
2019-08-20T15:34:33:+0200,copa,1,30,True,105.37192877419356,True,49.118
2019-08-20T15:34:33:+0200,copa,2,30,True,105.4525935483871,True,48.045
2019-08-20T15:34:33:+0200,copa,3,30,True,78.70817858064517,True,63.32
2019-08-20T15:34:33:+0200,copa,4,30,True,99.21382399999999,True,52.58
2019-08-20T15:34:33:+0200,copa,5,30,True,89.48375741935484,True,61.718999999999994
2019-08-20T15:34:33:+0200,copa,6,30,True,93.5552701935484,True,56.108000000000004
2019-08-20T15:34:33:+0200,copa,7,30,True,100.21697032258064,True,51.281000000000006
2019-08-20T15:34:33:+0200,copa,8,30,True,84.58089290322582,True,60.739
2019-08-20T15:34:33:+0200,copa,9,30,True,97.11228696774195,True,60.288000000000004
2019-08-20T15:34:33:+0200,copa,10,30,True,103.73658425806451,True,50.336999999999996
2019-08-21T12:14:13:+0200,copa,1,30,True,85.42914683870967,True,62.637
2019-08-21T12:14:13:+0200,copa,2,30,True,104.36921600000001,True,48.885
2019-08-21T12:14:13:+0200,copa,3,30,True,96.07976670967744,True,58.928999999999995
2019-08-21T12:14:13:+0200,copa,4,30,True,98.45019458064517,True,58.166000000000004
2019-08-21T12:14:13:+0200,copa,5,30,True,96.9945331612903,True,62.878
2019-08-21T12:14:13:+0200,copa,6,30,True,91.0869821935484,True,63.371
2019-08-21T12:14:13:+0200,copa,7,30,True,93.00680670967742,True,66.45
2019-08-21T12:14:13:+0200,copa,8,30,True,85.26278193548387,True,63.081
2019-08-21T12:14:13:+0200,copa,9,30,True,91.90381832258065,True,58.798
2019-08-21T12:14:13:+0200,copa,10,30,True,81.45079329032258,True,68.452
2019-08-22T07:59:10:+0200,copa,1,30,True,95.0394033548387,True,58.135
2019-08-22T07:59:10:+0200,copa,2,30,True,104.64696361290325,True,54.24100000000001
2019-08-22T07:59:10:+0200,copa,3,30,True,90.00801651612903,True,63.933
2019-08-22T07:59:10:+0200,copa,4,30,True,95.48245677419355,True,56.981
2019-08-22T07:59:10:+0200,copa,5,30,True,101.6224412903226,True,54.295
2019-08-22T07:59:10:+0200,copa,6,30,True,99.4278689032258,True,56.417
2019-08-22T07:59:10:+0200,copa,7,30,True,86.12860077419356,True,62.167
2019-08-22T07:59:10:+0200,copa,8,30,True,87.90052335483871,True,59.482
2019-08-22T07:59:10:+0200,copa,9,30,True,100.32381522580644,True,52.303999999999995
2019-08-22T07:59:10:+0200,copa,10,30,True,100.80448412903225,True,52.62
2019-08-22T10:18:28:+0200,copa,1,30,True,106.25142296774193,True,50.17100000000001
2019-08-22T10:18:28:+0200,copa,2,30,True,76.5614864516129,True,64.673
2019-08-22T10:18:28:+0200,copa,3,30,True,99.46608722580645,True,58.39
2019-08-22T10:18:28:+0200,copa,4,30,True,86.69905135483869,True,61.57899999999999
2019-08-22T10:18:28:+0200,copa,5,30,True,92.32649496774194,True,59.751999999999995
2019-08-22T10:18:28:+0200,copa,6,30,True,101.85060954838711,True,49.714
2019-08-22T10:18:28:+0200,copa,7,30,True,100.80983948387095,True,50.788000000000004
2019-08-22T10:18:28:+0200,copa,8,30,True,94.38448722580647,True,59.339
2019-08-22T10:18:28:+0200,copa,9,30,True,86.86361393548387,True,61.896
2019-08-22T10:18:28:+0200,copa,10,30,True,85.79666993548388,True,61.33
2019-08-21T17:06:02:+0200,cubic,1,30,True,104.37459922580643,True,89.02600000000001
2019-08-21T17:06:02:+0200,cubic,2,30,True,107.8853698064516,True,90.265
